username;lotacao;tipoconta;valormi;dc;contacontabil
user2753;UNID-101;Passivo;32457.40;c;25652361
user1484;UNID-079;Outras;43405.57;d;95653733
user0020;UNID-092;Despesa;43405.57;c;85535794
user0378;UNID-093;Despesa;22482.28;d;86028382
user0676;UNID-120;Passivo;22482.28;c;20308178
user2126;UNID-051;Ativo;15607.60;d;12765483
user2387;UNID-021;Ativo;15607.60;c;14085286
user1353;UNID-076;Ativo;31318.39;d;18216744
user1013;UNID-067;Despesa;31318.39;c;80583027
user1448;UNID-037;Ativo;11170.93;d;14343168
user1239;UNID-049;Receita;11170.93;c;76619165
user0447;UNID-019;Passivo;35764.32;d;29961069
user1352;UNID-048;Despesa;35764.32;c;86643135
user0796;UNID-058;Ativo;26707.83;d;13212157
user2073;UNID-023;Resultado;26707.83;c;31669729
user1586;UNID-099;Passivo;675.83;d;27715524
user0359;UNID-063;Passivo;675.83;c;27223593
user2842;UNID-046;Ativo;15274.88;d;19006216
user0965;UNID-104;Despesa;15274.88;c;85010447
user1023;UNID-085;Outras;9120.84;d;94956258
user1007;UNID-027;Despesa;9120.84;c;84461562
user1011;UNID-068;Ativo;15274.62;d;16837006
user1839;UNID-089;Outras;15274.62;c;96302825
user1281;UNID-118;Despesa;10634.71;d;83425907
user2612;UNID-086;Receita;10634.71;c;71180059
user1762;UNID-077;Passivo;67746.05;d;24950656
user2464;UNID-056;Receita;67746.05;c;76997071
user0318;UNID-116;Resultado;19541.28;d;32635248
user1931;UNID-026;Despesa;19541.28;c;87787509
user2623;UNID-094;Outras;34032.08;d;97369195
user1335;UNID-079;Passivo;34032.08;c;22722415
user2631;UNID-111;Receita;6772.58;d;71275768
user0377;UNID-117;Receita;6772.58;c;74557762
user0652;UNID-065;Despesa;8161.23;d;88086607
user1862;UNID-115;Receita;8161.23;c;75792195
user1307;UNID-089;Receita;12001.79;d;70195239
user1953;UNID-071;Outras;12001.79;c;97585195
user0325;UNID-030;Outras;33532.93;d;93086672
user1712;UNID-023;Despesa;33532.93;c;86273088
user1101;UNID-043;Receita;33585.94;d;76287452
user1323;UNID-076;Ativo;33585.94;c;10844443
user0657;UNID-044;Receita;11263.52;d;71794564
user2293;UNID-115;Receita;11263.52;c;74939908
user1157;UNID-016;Outras;10634.49;d;96777029
user2017;UNID-056;Passivo;10634.49;c;21034029
user0228;UNID-088;Despesa;19706.28;d;82999927
user2501;UNID-005;Despesa;19706.28;c;89251201
user1643;UNID-030;Despesa;24607.71;d;86124519
user0906;UNID-077;Despesa;24607.71;c;85909154
user1013;UNID-111;Despesa;1677.30;d;84181549
user2712;UNID-055;Receita;1677.30;c;74823034
user2166;UNID-049;Outras;22807.43;d;92758472
user0216;UNID-072;Despesa;22807.43;c;84866583
user1813;UNID-038;Receita;35284.89;d;71610189
user2974;UNID-024;Resultado;35284.89;c;35717280
user2723;UNID-115;Ativo;18161.78;d;19537728
user1291;UNID-108;Resultado;18161.78;c;33315689
user2440;UNID-031;Receita;24447.76;d;72845589
user2848;UNID-100;Outras;24447.76;c;90216120
user2923;UNID-028;Despesa;57684.24;d;85428270
user1836;UNID-101;Outras;57684.24;c;91402490
user0837;UNID-056;Receita;16861.36;d;76659888
user2936;UNID-006;Despesa;16861.36;c;86722400
user1360;UNID-062;Receita;16311.78;d;77302955
user0025;UNID-063;Passivo;16311.78;c;27269946
user0540;UNID-084;Despesa;23358.33;d;86146428
user1092;UNID-004;Passivo;23358.33;c;29160118
user0916;UNID-070;Ativo;6190.13;d;11412621
user0771;UNID-041;Despesa;6190.13;c;85548524
user2251;UNID-086;Passivo;24670.79;d;24600339
user2625;UNID-022;Despesa;24670.79;c;88082514
user2790;UNID-080;Outras;23048.46;d;96348310
user1002;UNID-055;Despesa;23048.46;c;82909178
user2840;UNID-003;Ativo;19471.93;d;19913828
user0474;UNID-043;Ativo;19471.93;c;19360435
user1739;UNID-002;Receita;4489.38;d;72987979
user1381;UNID-061;Despesa;4489.38;c;84350970
user1918;UNID-084;Ativo;69053.43;d;10909288
user0240;UNID-065;Despesa;69053.43;c;87486080
user0646;UNID-082;Despesa;62065.12;d;81159809
user0741;UNID-006;Outras;62065.12;c;95188583
user0640;UNID-014;Outras;20101.98;d;93355836
user2645;UNID-110;Resultado;20101.98;c;36616612
user1479;UNID-056;Receita;11110.08;d;77366173
user1543;UNID-062;Despesa;11110.08;c;87467896
user2994;UNID-020;Passivo;18865.93;d;29477314
user2832;UNID-110;Receita;18865.93;c;72409705
user0929;UNID-107;Passivo;8181.91;d;28919114
user0759;UNID-044;Resultado;8181.91;c;31532843
user1083;UNID-095;Outras;9863.24;d;97199267
user0120;UNID-088;Resultado;9863.24;c;38745620
user0943;UNID-110;Passivo;7965.30;d;29980278
user0267;UNID-055;Passivo;7965.30;c;27774048
user0397;UNID-106;Ativo;48627.62;d;14336988
user1848;UNID-091;Ativo;48627.62;c;11438975
user0178;UNID-034;Despesa;515.63;d;82792975
user2090;UNID-021;Outras;515.63;c;91318222
user2562;UNID-083;Outras;21071.52;d;92965352
user2607;UNID-109;Outras;21071.52;c;95063299
user2447;UNID-024;Receita;37532.24;d;74170357
user1544;UNID-085;Passivo;37532.24;c;21997756
user1809;UNID-101;Receita;48869.32;d;70843881
user0120;UNID-068;Resultado;48869.32;c;37389840
user1324;UNID-047;Receita;4092.81;d;75672822
user2450;UNID-005;Ativo;4092.81;c;19275625
user1324;UNID-099;Passivo;15926.81;d;21322167
user0200;UNID-019;Receita;15926.81;c;74885840
user2469;UNID-001;Passivo;48248.93;d;25210227
user2802;UNID-040;Outras;48248.93;c;92864462
user2330;UNID-035;Despesa;24270.12;d;85969361
user1078;UNID-095;Passivo;24270.12;c;25551980
user1634;UNID-110;Ativo;19208.41;d;17233226
user0059;UNID-009;Despesa;19208.41;c;81403395
user0311;UNID-057;Receita;30734.45;d;71659703
user1167;UNID-003;Receita;30734.45;c;75960425
user1861;UNID-095;Resultado;60850.82;d;34320798
user2158;UNID-075;Receita;60850.82;c;74673816
user1024;UNID-002;Ativo;20320.08;d;16635613
user1722;UNID-078;Receita;20320.08;c;71091439
user1765;UNID-087;Despesa;53783.08;d;84630078
user2562;UNID-074;Passivo;53783.08;c;22326407
user1592;UNID-106;Passivo;29357.17;d;29332238
user1599;UNID-011;Outras;29357.17;c;98677389
user0259;UNID-049;Ativo;27522.55;d;11188942
user2640;UNID-060;Receita;27522.55;c;73741840
user0047;UNID-118;Resultado;24535.96;d;39626148
user0178;UNID-020;Resultado;24535.96;c;38674906
user1660;UNID-051;Receita;16976.19;d;72686919
user2631;UNID-112;Outras;16976.19;c;92366623
user2963;UNID-040;Outras;49112.29;d;99591434
user2324;UNID-089;Outras;49112.29;c;91052780
user0374;UNID-080;Outras;3652.43;d;93578610
user2919;UNID-012;Ativo;3652.43;c;11461732
user0968;UNID-027;Resultado;33414.12;d;39233618
user2072;UNID-092;Outras;33414.12;c;91438719
user0135;UNID-078;Passivo;30647.28;d;21558608
user0391;UNID-117;Despesa;30647.28;c;82847200
user0361;UNID-073;Resultado;4732.58;d;35402841
user2177;UNID-115;Outras;4732.58;c;90211480
user1129;UNID-094;Passivo;1874.98;d;28309940
user2738;UNID-015;Passivo;1874.98;c;20533819
user2214;UNID-081;Resultado;34903.43;d;38031013
user0910;UNID-042;Outras;34903.43;c;93936304
user0654;UNID-005;Despesa;15978.37;d;87360133
user2352;UNID-039;Passivo;15978.37;c;28750049
user0714;UNID-117;Outras;23129.25;d;94930835
user2905;UNID-034;Ativo;23129.25;c;11814984
user1821;UNID-082;Ativo;8876.41;d;16425662
user0203;UNID-048;Resultado;8876.41;c;35712326
user1782;UNID-014;Outras;11434.90;d;90070759
user0160;UNID-081;Resultado;11434.90;c;33736141
user0472;UNID-012;Passivo;15759.24;d;20933210
user0726;UNID-012;Receita;15759.24;c;78334585
user2920;UNID-015;Resultado;3715.37;d;36893833
user2521;UNID-015;Ativo;3715.37;c;10991131
user0341;UNID-018;Passivo;59164.34;d;22398780
user0924;UNID-035;Ativo;59164.34;c;19795706
user1535;UNID-050;Ativo;51311.23;d;16278194
user2235;UNID-108;Outras;51311.23;c;96424832
user0397;UNID-079;Despesa;24717.10;d;88260548
user2790;UNID-090;Despesa;24717.10;c;85360680
user0098;UNID-062;Receita;34911.33;d;78336985
user1235;UNID-012;Ativo;34911.33;c;14627993
user1783;UNID-006;Ativo;21948.70;d;12497987
user2585;UNID-040;Despesa;21948.70;c;82664633
user2067;UNID-033;Receita;6842.23;d;71651207
user0342;UNID-050;Resultado;6842.23;c;34168893
user0239;UNID-072;Passivo;10094.51;d;25050538
user0513;UNID-040;Outras;10094.51;c;93663924
user0383;UNID-003;Resultado;14406.94;d;31829157
user2694;UNID-092;Despesa;14406.94;c;86857433
user1384;UNID-104;Receita;21516.77;d;76708431
user2588;UNID-074;Receita;21516.77;c;79163480
user0864;UNID-071;Ativo;19922.68;d;14604970
user1300;UNID-064;Despesa;19922.68;c;85354347
user0636;UNID-062;Ativo;48903.75;d;12023564
user1988;UNID-033;Resultado;48903.75;c;38043918
user0204;UNID-118;Receita;30181.82;d;70724670
user1301;UNID-090;Ativo;30181.82;c;12881556
user2688;UNID-012;Despesa;25811.48;d;85974450
user1648;UNID-060;Resultado;25811.48;c;36947981
user2928;UNID-105;Receita;27204.03;d;79525110
user1795;UNID-019;Outras;27204.03;c;96143797
user2510;UNID-020;Outras;5839.11;d;95807911
user2935;UNID-024;Despesa;5839.11;c;80844932
user2411;UNID-034;Resultado;29829.18;d;39599385
user2528;UNID-047;Passivo;29829.18;c;29588802
user0062;UNID-007;Resultado;43797.81;d;34451863
user1076;UNID-051;Resultado;43797.81;c;37826241
user1692;UNID-055;Ativo;57490.84;d;10901054
user1621;UNID-106;Resultado;57490.84;c;32533833
user2890;UNID-073;Receita;17558.65;d;75205473
user0756;UNID-047;Ativo;17558.65;c;16161656
user0765;UNID-008;Outras;9129.66;d;90078536
user2731;UNID-119;Despesa;9129.66;c;85724305
user2670;UNID-076;Outras;23832.02;d;97277487
user0980;UNID-111;Outras;23832.02;c;97639233
user0780;UNID-034;Passivo;39650.65;d;22357085
user1132;UNID-006;Passivo;39650.65;c;25995934
user0098;UNID-039;Passivo;28856.35;d;27859558
user2502;UNID-096;Passivo;28856.35;c;21171035
user2363;UNID-049;Ativo;5088.31;d;17288108
user0366;UNID-040;Outras;5088.31;c;94186083
user0516;UNID-108;Receita;45348.12;d;77305345
user2103;UNID-120;Outras;45348.12;c;93336377
user0323;UNID-010;Passivo;56712.11;d;26344974
user0599;UNID-103;Ativo;56712.11;c;12705349
user1478;UNID-083;Outras;14835.81;d;93130170
user0796;UNID-082;Resultado;14835.81;c;31576116
user1519;UNID-057;Resultado;10624.03;d;35550131
user0517;UNID-076;Resultado;10624.03;c;34379040
user2540;UNID-080;Resultado;23575.73;d;31759994
user0246;UNID-071;Resultado;23575.73;c;35529930
user1767;UNID-120;Despesa;59927.89;d;86126757
user1851;UNID-076;Passivo;59927.89;c;24793695
user1442;UNID-093;Resultado;27984.66;d;30048905
user1482;UNID-021;Receita;27984.66;c;77177602
user0444;UNID-004;Outras;29414.98;d;92709671
user0463;UNID-085;Ativo;29414.98;c;18505336
user1920;UNID-016;Ativo;19812.76;d;14781721
user0994;UNID-082;Outras;19812.76;c;95882579
user1860;UNID-083;Despesa;17576.06;d;80956775
user1560;UNID-036;Receita;17576.06;c;74543179
user0811;UNID-117;Outras;32825.83;d;99683103
user1248;UNID-055;Resultado;32825.83;c;34585480
user1710;UNID-057;Resultado;17739.66;d;35155544
user1838;UNID-014;Despesa;17739.66;c;89184418
user2595;UNID-111;Passivo;23853.79;d;23909264
user2366;UNID-077;Ativo;23853.79;c;19970346
user1661;UNID-109;Resultado;34461.56;d;37779886
user0072;UNID-096;Receita;34461.56;c;78368965
user2070;UNID-113;Despesa;7990.09;d;80239665
user0221;UNID-086;Receita;7990.09;c;76656847
user1774;UNID-106;Outras;19195.08;d;96807280
user1641;UNID-089;Passivo;19195.08;c;28970333
user2643;UNID-049;Outras;1081.38;d;94532923
user1928;UNID-039;Despesa;1081.38;c;81430218
user0088;UNID-004;Resultado;27118.69;d;30145725
user1315;UNID-058;Resultado;27118.69;c;39106382
user0501;UNID-081;Resultado;17595.19;d;30054733
user1442;UNID-030;Outras;17595.19;c;90054298
user1460;UNID-056;Ativo;2866.98;d;19800467
user1936;UNID-083;Receita;2866.98;c;78014818
user2698;UNID-082;Receita;16105.55;d;72448827
user1061;UNID-053;Outras;16105.55;c;90572319
user1513;UNID-063;Passivo;57183.46;d;21202305
user2709;UNID-103;Passivo;57183.46;c;27721083
user1725;UNID-117;Ativo;46707.63;d;14465501
user1972;UNID-120;Ativo;46707.63;c;10401512
user0599;UNID-060;Ativo;6309.91;d;16973739
user0816;UNID-025;Passivo;6309.91;c;25045309
user1959;UNID-010;Outras;42106.44;d;90860244
user2065;UNID-107;Receita;42106.44;c;78511310
user0789;UNID-048;Resultado;9591.89;d;30530259
user1073;UNID-106;Resultado;9591.89;c;31930414
user2190;UNID-099;Passivo;16388.44;d;25225531
user0513;UNID-081;Passivo;16388.44;c;29802047
user0340;UNID-066;Resultado;16957.21;d;30702012
user0917;UNID-116;Resultado;16957.21;c;36163089
user1566;UNID-072;Ativo;2944.22;d;14589301
user1845;UNID-019;Outras;2944.22;c;97095782
user1818;UNID-072;Despesa;5127.06;d;87702531
user2818;UNID-093;Outras;5127.06;c;91835332
user0281;UNID-019;Resultado;46970.97;d;35430127
user0477;UNID-046;Outras;46970.97;c;97840809
user0173;UNID-076;Receita;34128.53;d;74465400
user0122;UNID-095;Resultado;34128.53;c;31451302
user2217;UNID-002;Receita;37904.92;d;74183683
user2500;UNID-086;Ativo;37904.92;c;15780172
user2200;UNID-049;Resultado;40213.74;d;34426771
user1455;UNID-096;Resultado;40213.74;c;39405944
user1027;UNID-037;Outras;7492.53;d;96908752
user1746;UNID-117;Receita;7492.53;c;74040343
user1235;UNID-062;Resultado;14683.93;d;39734058
user2704;UNID-015;Despesa;14683.93;c;81340946
user2322;UNID-085;Despesa;11194.25;d;86146980
user2028;UNID-003;Passivo;11194.25;c;24279032
user1808;UNID-108;Receita;34666.63;d;79714626
user0348;UNID-005;Despesa;34666.63;c;84118108
user1076;UNID-094;Ativo;14671.97;d;19491426
user1329;UNID-109;Outras;14671.97;c;95883062
user2915;UNID-113;Despesa;8501.31;d;82986713
user1555;UNID-003;Outras;8501.31;c;94184000
user0819;UNID-068;Ativo;17205.18;d;10952421
user1856;UNID-072;Ativo;17205.18;c;15724579
user1000;UNID-105;Resultado;34008.18;d;35470355
user2933;UNID-002;Passivo;34008.18;c;26479484
user2506;UNID-068;Resultado;26629.09;d;32462844
user0838;UNID-098;Receita;26629.09;c;77874322
user2028;UNID-005;Outras;25578.35;d;95296636
user2505;UNID-006;Despesa;25578.35;c;86260124
user2484;UNID-094;Despesa;18269.07;d;88083004
user2365;UNID-072;Despesa;18269.07;c;87367056
user2399;UNID-110;Outras;62983.07;d;98502260
user1789;UNID-043;Outras;62983.07;c;95036329
user2545;UNID-093;Passivo;33820.74;d;22459218
user0231;UNID-072;Despesa;33820.74;c;83144506
user2708;UNID-114;Outras;41625.45;d;90416653
user1950;UNID-015;Ativo;41625.45;c;11158567
user1524;UNID-028;Passivo;4847.60;d;28218863
user1743;UNID-113;Resultado;4847.60;c;30555679
user0982;UNID-113;Receita;11709.33;d;74875601
user0334;UNID-034;Ativo;11709.33;c;11729944
user2451;UNID-114;Passivo;19512.17;d;29027883
user1052;UNID-002;Despesa;19512.17;c;80146828
user2639;UNID-018;Despesa;56107.37;d;84152100
user0294;UNID-016;Passivo;56107.37;c;23722615
user0215;UNID-092;Outras;8464.48;d;96684546
user1374;UNID-002;Receita;8464.48;c;71196725
user2445;UNID-115;Outras;26619.72;d;90766104
user2352;UNID-029;Ativo;26619.72;c;19954644
user0325;UNID-068;Receita;31309.21;d;77705997
user0634;UNID-110;Resultado;31309.21;c;36876650
user0085;UNID-027;Resultado;31317.07;d;39256495
user0953;UNID-041;Passivo;31317.07;c;26408886
user1424;UNID-107;Ativo;387.34;d;17565265
user1796;UNID-098;Resultado;387.34;c;35250883
user2023;UNID-007;Receita;5457.73;d;74177537
user2252;UNID-107;Despesa;5457.73;c;88363042
user2100;UNID-114;Receita;52224.83;d;72004805
user0764;UNID-089;Receita;52224.83;c;78390697
user1522;UNID-045;Resultado;31769.38;d;35029022
user0678;UNID-021;Receita;31769.38;c;74482456
user1313;UNID-054;Resultado;11389.10;d;38354565
user2730;UNID-092;Ativo;11389.10;c;17553301
user1751;UNID-033;Outras;21029.17;d;99189312
user0399;UNID-102;Ativo;21029.17;c;11506729
user1376;UNID-092;Outras;12740.65;d;99407221
user0549;UNID-028;Outras;12740.65;c;90446490
user1909;UNID-051;Resultado;9227.72;d;31943870
user1303;UNID-031;Resultado;9227.72;c;34901975
user2993;UNID-109;Outras;29129.61;d;90139072
user1101;UNID-105;Ativo;29129.61;c;10841153
user0803;UNID-106;Receita;16379.61;d;78541213
user2667;UNID-001;Outras;16379.61;c;96375887
user1067;UNID-099;Ativo;37985.92;d;17944427
user2293;UNID-089;Despesa;37985.92;c;87629030
user2225;UNID-053;Despesa;2526.02;d;87436672
user2907;UNID-029;Ativo;2526.02;c;15395274
user2131;UNID-094;Outras;22761.27;d;93311070
user1666;UNID-100;Passivo;22761.27;c;24825725
user1608;UNID-081;Ativo;51962.95;d;13698677
user0608;UNID-002;Ativo;51962.95;c;15047914
user1805;UNID-005;Receita;49440.79;d;71201661
user1376;UNID-111;Receita;49440.79;c;78502742
user0013;UNID-092;Receita;17015.98;d;78479763
user2126;UNID-062;Despesa;17015.98;c;85314110
user0439;UNID-099;Receita;4724.54;d;79982060
user1250;UNID-056;Despesa;4724.54;c;89173376
user1496;UNID-074;Despesa;21372.15;d;80085467
user1347;UNID-039;Ativo;21372.15;c;13388556
user2903;UNID-095;Passivo;5032.12;d;26079601
user0477;UNID-091;Resultado;5032.12;c;39274604
user0472;UNID-061;Despesa;18101.61;d;81424060
user0406;UNID-107;Ativo;18101.61;c;15984771
user0938;UNID-102;Resultado;292.26;d;31702817
user0845;UNID-058;Passivo;292.26;c;27030334
user0546;UNID-063;Receita;46961.62;d;78027626
user1248;UNID-052;Resultado;46961.62;c;36203577
user0869;UNID-116;Receita;30123.67;d;76508833
user2091;UNID-063;Outras;30123.67;c;99033278
user2611;UNID-022;Receita;52730.61;d;76233673
user0810;UNID-055;Ativo;52730.61;c;17820051
user1748;UNID-118;Receita;26616.13;d;75071164
user0835;UNID-109;Passivo;26616.13;c;27324135
user0871;UNID-061;Resultado;23178.85;d;39615229
user2980;UNID-100;Passivo;23178.85;c;26541024
user2207;UNID-093;Passivo;71988.76;d;21540130
user1999;UNID-113;Resultado;71988.76;c;32882282
user1129;UNID-061;Receita;45862.32;d;76370084
user0614;UNID-026;Outras;45862.32;c;93464928
user2054;UNID-081;Ativo;3355.09;d;15081796
user1798;UNID-071;Despesa;3355.09;c;87773431
user0157;UNID-029;Despesa;36381.01;d;88598284
user1726;UNID-043;Ativo;36381.01;c;14649734
user2103;UNID-030;Resultado;44572.48;d;30740304
user1207;UNID-056;Ativo;44572.48;c;17936821
user1770;UNID-086;Despesa;4485.84;d;85404121
user1919;UNID-120;Ativo;4485.84;c;18020597
user2549;UNID-046;Resultado;61150.74;d;32383810
user1640;UNID-085;Despesa;61150.74;c;80369707
user2015;UNID-077;Passivo;10228.50;d;23689781
user0536;UNID-022;Outras;10228.50;c;91092822
user1491;UNID-057;Resultado;40969.95;d;36570265
user0468;UNID-053;Despesa;40969.95;c;87737206
user0493;UNID-020;Resultado;53635.37;d;33934365
user2848;UNID-063;Outras;53635.37;c;98008715
user1269;UNID-023;Despesa;1805.27;d;81019001
user1413;UNID-102;Receita;1805.27;c;76218977
user0027;UNID-003;Resultado;21646.93;d;39517181
user2121;UNID-096;Ativo;21646.93;c;15146293
user0383;UNID-018;Despesa;17936.53;d;87596473
user2557;UNID-029;Receita;17936.53;c;74013555
user2456;UNID-073;Ativo;52468.09;d;12546501
user2689;UNID-111;Resultado;52468.09;c;32376583
user0137;UNID-019;Receita;36160.51;d;77796105
user0056;UNID-076;Receita;36160.51;c;78533446
user2720;UNID-013;Outras;16304.86;d;94489718
user0915;UNID-086;Receita;16304.86;c;73969400
user0610;UNID-113;Resultado;19063.09;d;38663415
user1210;UNID-051;Passivo;19063.09;c;21875936
user1351;UNID-065;Outras;3577.96;d;94498482
user2113;UNID-006;Outras;3577.96;c;97176391
user1428;UNID-052;Outras;60509.53;d;96382408
user0298;UNID-091;Resultado;60509.53;c;32963620
user0101;UNID-086;Receita;12993.08;d;71193431
user1674;UNID-037;Outras;12993.08;c;95748719
user2053;UNID-016;Passivo;59898.78;d;27346992
user2060;UNID-097;Receita;59898.78;c;75952128
user0727;UNID-101;Receita;27774.57;d;72194911
user0013;UNID-068;Outras;27774.57;c;94969165
user0876;UNID-078;Passivo;5821.40;d;20824212
user2622;UNID-001;Resultado;5821.40;c;30671666
user1291;UNID-118;Ativo;5232.04;d;13018127
user1058;UNID-070;Receita;5232.04;c;74532799
user0052;UNID-116;Receita;26758.23;d;74497099
user2078;UNID-119;Despesa;26758.23;c;84203817
user1134;UNID-099;Outras;60045.24;d;95031112
user1152;UNID-060;Outras;60045.24;c;95408566
user1154;UNID-074;Receita;19885.13;d;73863222
user0216;UNID-100;Resultado;19885.13;c;32350971
user2763;UNID-118;Receita;22930.95;d;73060101
user0131;UNID-069;Passivo;22930.95;c;25295420
user0575;UNID-094;Receita;40486.78;d;76198904
user0057;UNID-080;Passivo;40486.78;c;26534392
user2699;UNID-092;Despesa;11102.91;d;82996956
user2835;UNID-114;Ativo;11102.91;c;13224923
user1571;UNID-088;Resultado;10692.88;d;30015349
user1889;UNID-095;Despesa;10692.88;c;82832469
user1475;UNID-089;Outras;36277.16;d;95850167
user2367;UNID-119;Resultado;36277.16;c;37838241
user1322;UNID-073;Outras;21404.37;d;99499345
user0640;UNID-094;Resultado;21404.37;c;39947017
user0524;UNID-099;Resultado;44346.87;d;36715922
user2865;UNID-060;Passivo;44346.87;c;29025539
user2689;UNID-094;Despesa;26983.47;d;81711966
user2236;UNID-089;Receita;26983.47;c;75621707
user0659;UNID-074;Outras;5884.16;d;93189491
user0429;UNID-109;Passivo;5884.16;c;29553494
user0379;UNID-019;Passivo;23922.80;d;21396685
user2178;UNID-017;Outras;23922.80;c;90358427
user0870;UNID-059;Resultado;28937.57;d;32936505
user0979;UNID-039;Receita;28937.57;c;70410790
user2150;UNID-052;Despesa;6962.17;d;89846011
user0834;UNID-029;Despesa;6962.17;c;84551178
user2921;UNID-064;Receita;20971.80;d;70475136
user0751;UNID-099;Receita;20971.80;c;70509604
user0253;UNID-026;Passivo;4943.41;d;27775171
user2887;UNID-060;Ativo;4943.41;c;10605284
user2322;UNID-090;Despesa;24683.85;d;89771418
user0509;UNID-019;Outras;24683.85;c;93020715
user1566;UNID-015;Receita;18068.53;d;71514845
user2696;UNID-078;Receita;18068.53;c;70016607
user1233;UNID-067;Despesa;7648.38;d;81625692
user1523;UNID-052;Despesa;7648.38;c;80012330
user2581;UNID-023;Resultado;25146.50;d;30292478
user2617;UNID-017;Outras;25146.50;c;93330941
user0758;UNID-074;Ativo;27624.75;d;14672299
user0028;UNID-098;Resultado;27624.75;c;38412037
user2277;UNID-098;Resultado;10712.79;d;35974639
user1405;UNID-050;Passivo;10712.79;c;22424828
user0807;UNID-096;Passivo;28396.27;d;23333524
user2862;UNID-042;Ativo;28396.27;c;12282528
user1401;UNID-023;Ativo;23663.54;d;14826298
user0951;UNID-098;Resultado;23663.54;c;30485692
user0067;UNID-018;Passivo;27918.99;d;21913572
user2213;UNID-072;Despesa;27918.99;c;81504540
user1214;UNID-099;Despesa;1517.80;d;80205619
user0471;UNID-111;Despesa;1517.80;c;89188231
user0342;UNID-115;Despesa;325.51;d;88165578
user0717;UNID-077;Ativo;325.51;c;10312835
user0995;UNID-009;Despesa;6206.04;d;84755020
user2948;UNID-058;Outras;6206.04;c;92416389
user2782;UNID-095;Outras;31032.31;d;96874680
user1163;UNID-029;Outras;31032.31;c;98494353
user1398;UNID-084;Passivo;334.31;d;25332509
user2871;UNID-045;Resultado;334.31;c;36191190
user2465;UNID-035;Receita;10368.78;d;79951834
user0616;UNID-109;Despesa;10368.78;c;88554915
user0520;UNID-046;Ativo;18047.95;d;15569352
user1715;UNID-049;Resultado;18047.95;c;34544574
user1422;UNID-010;Despesa;44799.58;d;80794456
user1206;UNID-010;Despesa;44799.58;c;83615360
user2396;UNID-092;Ativo;33275.98;d;15481728
user0094;UNID-016;Receita;33275.98;c;77992135
user2378;UNID-082;Ativo;21519.82;d;15153991
user2314;UNID-030;Despesa;21519.82;c;84140260
user2451;UNID-022;Passivo;9185.34;d;28618793
user1927;UNID-080;Ativo;9185.34;c;10298347
user2833;UNID-098;Passivo;8995.11;d;27021000
user0923;UNID-050;Resultado;8995.11;c;31654877
user2655;UNID-048;Despesa;43807.70;d;83015002
user1600;UNID-015;Passivo;43807.70;c;27385803
user1741;UNID-040;Ativo;22051.95;d;11479399
user1151;UNID-106;Resultado;22051.95;c;35938305
user1692;UNID-002;Resultado;4061.90;d;36702258
user1566;UNID-103;Outras;4061.90;c;96930954
user2193;UNID-061;Despesa;8718.59;d;81213519
user0846;UNID-031;Outras;8718.59;c;99917744
user0771;UNID-016;Resultado;108.66;d;35533583
user0176;UNID-036;Despesa;108.66;c;89930845
user0648;UNID-119;Outras;18328.40;d;95726918
user2101;UNID-088;Resultado;18328.40;c;38973021
